ID,050A02,050A01,050A07,050A09,050A11,050A08
1562,0.214,0.292,21.4,2.336,0.084,0.4
1563,0.214,0.292,21.4,2.266,0.084,0.394
1564,0.218,0.292,21.366,2.354,0.158,0.39
1565,0.222,0.282,21.3,2.378,0.272,0.388
1566,0.268,0.336,21.346,2.464,0.222,0.376
1567,0.276,0.354,21.4,2.418,0.272,0.37
1568,0.274,0.342,21.4,2.376,0.302,0.368
1569,0.298,0.374,21.4,2.38,0.298,0.412
1570,0.326,0.412,21.4,2.386,0.182,0.44
1571,0.328,0.41,21.4,2.434,0.088,0.444
1572,0.346,0.404,21.404,2.4,0.078,0.48
1573,0.272,0.316,21.49,2.444,0.054,0.518
1574,0.266,0.308,21.462,2.43,0.064,0.526
1575,0.242,0.292,21.4,2.424,0.078,0.496
1576,0.24,0.286,21.4,2.38,0.086,0.398
1577,0.236,0.288,21.4,2.36,0.088,0.37
1578,0.238,0.306,21.4,2.362,0.086,0.362
1579,0.236,0.304,21.4,2.348,0.07,0.356
1580,0.24,0.294,21.4,2.364,0.076,0.35
1581,0.242,0.302,21.4,2.338,0.072,0.352
1582,0.256,0.318,21.4,2.338,0.076,0.354
1583,0.27,0.306,21.4,2.366,0.04,0.35
1584,0.238,0.28,21.4,2.406,0.046,0.358
1585,0.21,0.264,21.4,2.404,0.074,0.388
1586,0.216,0.268,21.4,2.382,0.094,0.384
1587,0.218,0.268,21.4,2.364,0.082,0.358
1588,0.222,0.282,21.4,2.372,0.092,0.34
1589,0.238,0.296,21.4,2.304,0.09,0.344
1590,0.224,0.28,21.4,2.292,0.158,0.34
1591,0.236,0.272,21.4,2.276,0.1,0.344
1592,0.236,0.266,21.304,2.374,0.098,0.36
1593,0.26,0.274,21.302,2.374,0.098,0.36
1594,0.248,0.262,21.374,2.392,0.108,0.358
1595,0.228,0.26,21.4,2.372,0.248,0.354
1596,0.258,0.28,21.4,2.394,0.22,0.344
1597,0.256,0.29,21.4,2.398,0.116,0.33
1598,0.266,0.3,21.4,2.4,0.056,0.33
1599,0.272,0.308,21.4,2.358,0.056,0.346
1600,0.302,0.316,21.4,2.364,0.068,0.358
1601,0.304,0.316,21.4,2.382,0.052,0.366
1602,0.286,0.304,21.4,2.376,0.064,0.378
1603,0.254,0.28,21.4,2.406,0.068,0.38
1604,0.242,0.268,21.4,2.342,0.058,0.38
1605,0.254,0.276,21.4,2.366,0.086,0.366
1606,0.26,0.294,21.4,2.358,0.158,0.344
1607,0.262,0.296,21.4,2.4,0.31,0.34
1608,0.262,0.296,21.41,2.368,0.09,0.34
1609,0.268,0.308,21.42,2.404,0.094,0.352
1610,0.264,0.304,21.5,2.37,0.098,0.36
1611,0.254,0.29,21.5,2.384,0.088,0.36
1612,0.27,0.304,21.5,2.44,0.076,0.362
1613,0.268,0.316,21.5,2.412,0.05,0.36
1614,0.26,0.31,21.542,2.378,0.064,0.36
1615,0.26,0.302,21.596,2.408,0.076,0.366
1616,0.262,0.296,21.502,2.402,0.092,0.37
1617,0.262,0.31,21.5,2.412,0.08,0.36
1618,0.264,0.306,21.51,2.404,0.072,0.36
1619,0.262,0.304,21.564,2.368,0.074,0.362
1620,0.252,0.292,21.6,2.404,0.076,0.37
1621,0.266,0.302,21.6,2.402,0.066,0.37
1622,0.278,0.324,21.614,2.424,0.044,0.364
1623,0.268,0.316,21.678,2.418,0.054,0.354
1624,0.26,0.298,21.618,2.41,0.062,0.364
1625,0.256,0.292,21.6,2.386,0.082,0.384
1626,0.26,0.3,21.6,2.394,0.076,0.37
1627,0.266,0.322,21.6,2.38,0.074,0.36
1628,0.26,0.32,21.6,2.368,0.082,0.36
1629,0.248,0.302,21.6,2.368,0.07,0.366
1630,0.248,0.298,21.552,2.212,0.08,0.388
1631,0.236,0.29,21.5,2.208,0.086,0.38
1632,0.232,0.282,21.5,2.204,0.082,0.362
1633,0.228,0.28,21.418,2.2,0.086,0.358
1634,0.23,0.278,21.4,2.214,0.062,0.35
1635,0.224,0.274,21.4,2.286,0.06,0.34
1636,0.232,0.276,21.4,2.32,0.066,0.34
1637,0.25,0.306,21.4,2.33,0.062,0.342
1638,0.262,0.312,21.4,2.37,0.07,0.348
1639,0.29,0.34,21.4,2.326,0.06,0.346
1640,0.274,0.326,21.4,2.302,0.058,0.36
1641,0.26,0.31,21.4,2.388,0.05,0.376
1642,0.302,0.348,21.4,2.328,0.05,0.396
1643,0.308,0.362,21.404,2.358,0.086,0.392
1644,0.3,0.352,21.498,2.332,0.098,0.38
1645,0.274,0.336,21.5,2.34,0.09,0.402
1646,0.308,0.358,21.5,2.372,0.064,0.412
1647,0.348,0.4,21.5,2.348,0.07,0.408
1648,0.344,0.388,21.5,2.386,0.07,0.4
1649,0.316,0.364,21.5,2.384,0.08,0.428
1650,0.33,0.38,21.5,2.362,0.048,0.458
1651,0.322,0.362,21.542,2.338,0.088,0.448
1652,0.306,0.344,21.528,2.362,0.086,0.43
1653,0.312,0.356,21.524,2.4,0.072,0.44
1654,0.332,0.38,21.5,2.374,0.08,0.426
1655,0.3,0.352,21.5,2.394,0.248,0.414
1656,0.26,0.306,21.516,2.332,0.504,0.428
1657,0.248,0.29,21.5,2.234,0.324,0.44
1658,0.262,0.302,21.5,2.232,0.59,0.412
1659,0.26,0.302,21.458,2.25,0.65,0.376
1660,0.254,0.294,21.402,2.318,0.384,0.352
1661,0.266,0.312,21.4,2.38,0.308,0.36
1662,0.278,0.32,21.4,2.358,0.138,0.368
1663,0.314,0.358,21.41,2.376,0.088,0.362
1664,0.308,0.348,21.466,2.33,0.124,0.378
1665,0.29,0.336,21.5,2.356,0.082,0.394
1666,0.32,0.364,21.5,2.388,0.09,0.42
1667,0.318,0.37,21.5,2.378,0.098,0.408
1668,0.304,0.35,21.51,2.388,0.092,0.4
1669,0.304,0.35,21.594,2.358,0.3,0.424
1670,0.304,0.352,21.608,2.384,0.318,0.432
1671,0.314,0.366,21.608,2.356,0.084,0.424
1672,0.332,0.388,21.606,2.346,0.074,0.42
1673,0.31,0.362,21.658,2.37,0.092,0.426
1674,0.308,0.35,21.7,2.324,0.092,0.428
1675,0.29,0.33,21.7,2.392,0.316,0.44
1676,0.306,0.346,21.7,2.376,0.232,0.434
1677,0.306,0.346,21.7,2.366,0.102,0.424
1678,0.286,0.33,21.7,2.356,0.062,0.402
1679,0.274,0.318,21.7,2.362,0.068,0.406
1680,0.268,0.314,21.7,2.392,0.08,0.408
1681,0.26,0.31,21.7,2.388,0.154,0.398
1682,0.26,0.31,21.7,2.396,0.19,0.386
1683,0.284,0.32,21.7,2.372,0.09,0.372
1684,0.3,0.344,21.7,2.344,0.09,0.37
1685,0.304,0.346,21.7,2.394,0.132,0.37
1686,0.308,0.354,21.7,2.374,0.16,0.38
1687,0.314,0.35,21.7,2.394,0.33,0.402
1688,0.326,0.366,21.7,2.346,0.298,0.414
1689,0.318,0.36,21.7,2.362,0.236,0.414
1690,0.306,0.346,21.7,2.416,0.11,0.416
1691,0.294,0.334,21.7,2.394,0.088,0.42
1692,0.308,0.346,21.7,2.414,0.082,0.42
1693,0.296,0.336,21.7,2.336,0.078,0.4
1694,0.282,0.318,21.7,2.3,0.076,0.392
1695,0.276,0.314,21.7,2.278,0.086,0.4
1696,0.276,0.316,21.7,2.282,0.09,0.4
1697,0.278,0.312,21.616,2.348,0.084,0.39
1698,0.294,0.33,21.6,2.382,0.066,0.38
1699,0.3,0.356,21.6,2.35,0.064,0.38
1700,0.296,0.348,21.6,2.364,0.056,0.38
1701,0.298,0.348,21.616,2.376,0.078,0.39
1702,0.308,0.358,21.7,2.368,0.092,0.408
1703,0.356,0.41,21.7,2.344,0.086,0.412
1704,0.356,0.416,21.7,2.364,0.086,0.412
1705,0.316,0.382,21.7,2.378,0.084,0.428
1706,0.32,0.374,21.7,2.336,0.124,0.468
1707,0.316,0.362,21.7,2.362,0.352,0.486
1708,0.342,0.382,21.7,2.36,0.566,0.448
1709,0.332,0.386,21.7,2.372,0.478,0.424
1710,0.314,0.358,21.7,2.336,0.486,0.426
1711,0.3,0.342,21.7,2.252,0.318,0.442
1712,0.286,0.334,21.654,2.262,0.286,0.444
1713,0.282,0.33,21.6,2.246,0.236,0.424
1714,0.274,0.33,21.58,2.266,0.306,0.414
1715,0.27,0.314,21.502,2.278,0.34,0.396
1716,0.274,0.32,21.5,2.272,0.232,0.39
1717,0.27,0.31,21.5,2.28,0.16,0.384
1718,0.274,0.31,21.44,2.33,0.238,0.376
1719,0.27,0.312,21.4,2.36,0.248,0.386
1720,0.288,0.332,21.446,2.382,0.312,0.37
1721,0.304,0.346,21.49,2.364,0.238,0.37
1722,0.318,0.376,21.5,2.338,0.214,0.374
1723,0.302,0.362,21.5,2.33,0.13,0.394
1724,0.296,0.348,21.52,2.384,0.09,0.412
1725,0.3,0.35,21.6,2.364,0.07,0.43
1726,0.282,0.334,21.6,2.374,0.08,0.424
1727,0.288,0.336,21.692,2.372,0.068,0.41
1728,0.292,0.34,21.7,2.334,0.068,0.402
1729,0.278,0.322,21.7,2.33,0.066,0.39
1730,0.27,0.312,21.7,2.196,0.072,0.39
1731,0.27,0.31,21.63,2.284,0.088,0.39
1732,0.278,0.322,21.6,2.33,0.11,0.378
1733,0.274,0.318,21.66,2.342,0.092,0.37
1734,0.276,0.32,21.7,2.37,0.074,0.37
1735,0.282,0.326,21.7,2.368,0.076,0.382
1736,0.31,0.352,21.7,2.362,0.058,0.374
1737,0.31,0.358,21.7,2.378,0.092,0.374
1738,0.306,0.346,21.7,2.388,0.082,0.386
1739,0.308,0.358,21.7,2.388,0.08,0.408
1740,0.314,0.358,21.7,2.366,0.07,0.414
1741,0.314,0.358,21.7,2.338,0.08,0.406
1742,0.352,0.398,21.7,2.364,0.13,0.42
1743,0.384,0.434,21.728,2.362,0.288,0.42
1744,0.374,0.434,21.8,2.348,0.13,0.42
1745,0.352,0.404,21.8,2.358,0.066,0.452
1746,0.364,0.412,21.8,2.328,0.06,0.482
1747,0.349,0.402,21.85,1.51,0.06,0.485
